instance,N,p,status,obj,known_opt,LB1,UB1,gap,T1,T2,Ttot,iterations,nodes,lazy_cuts,separation_calls,timeout_flag,log_path
pmed17,400,10,OPT_MATCH,6999,6999,6968.6667,7031.0,0.004334,0.092,0.341,0.469912,6,104,445,13,0,report/evidence/logs/orlib_pmed17_pmed40/pmed17_300s.log
pmed18,400,40,OPT_MATCH,4809,4809,4808.5000,4809.0,0.000104,0.068,0.159,0.264925,7,1,303,13,0,report/evidence/logs/orlib_pmed17_pmed40/pmed18_300s.log
pmed19,400,80,OPT_MATCH,2845,2845,2845.0000,2845.0,0.000000,0.032,0.037,0.101043,7,1,302,3,0,report/evidence/logs/orlib_pmed17_pmed40/pmed19_300s.log
pmed20,400,133,OPT_MATCH,1789,1789,1789.0000,1789.0,0.000000,0.020,0.020,0.067351,7,1,156,3,0,report/evidence/logs/orlib_pmed17_pmed40/pmed20_300s.log
pmed21,500,5,OPT_MATCH,9138,9138,9138.0000,9138.0,0.000000,0.128,0.167,0.334078,5,1,517,4,0,report/evidence/logs/orlib_pmed17_pmed40/pmed21_300s.log
pmed22,500,10,OPT_MATCH,8579,8579,8544.0164,8729.0,0.004078,0.159,0.442,0.671880,8,36,527,14,0,report/evidence/logs/orlib_pmed17_pmed40/pmed22_300s.log
pmed23,500,50,OPT_MATCH,4619,4619,4619.0000,4619.0,0.000000,0.057,0.085,0.180241,6,1,389,11,0,report/evidence/logs/orlib_pmed17_pmed40/pmed23_300s.log
pmed24,500,100,OPT_MATCH,2961,2961,2961.0000,2961.0,0.000000,0.032,0.047,0.116401,7,1,326,3,0,report/evidence/logs/orlib_pmed17_pmed40/pmed24_300s.log
pmed25,500,167,OPT_MATCH,1828,1828,1828.0000,1828.0,0.000000,0.033,0.075,0.143709,11,1,215,9,0,report/evidence/logs/orlib_pmed17_pmed40/pmed25_300s.log
pmed26,600,5,OPT_MATCH,9917,9917,9853.8000,10004.0,0.006373,0.237,1.189,1.479167,8,201,914,31,0,report/evidence/logs/orlib_pmed17_pmed40/pmed26_300s.log
pmed27,600,10,OPT_MATCH,8307,8307,8301.7831,8310.0,0.000628,0.246,0.510,0.814902,8,10,478,12,0,report/evidence/logs/orlib_pmed17_pmed40/pmed27_300s.log
pmed28,600,60,OPT_MATCH,4498,4498,4498.0000,4498.0,0.000000,0.105,0.166,0.317647,8,1,477,8,0,report/evidence/logs/orlib_pmed17_pmed40/pmed28_300s.log
pmed29,600,120,OPT_MATCH,3033,3033,3033.0000,3033.0,0.000000,0.039,0.079,0.167953,8,1,427,10,0,report/evidence/logs/orlib_pmed17_pmed40/pmed29_300s.log
pmed30,600,200,OPT_MATCH,1989,1989,1989.0000,1989.0,0.000000,0.073,0.103,0.225776,11,1,256,9,0,report/evidence/logs/orlib_pmed17_pmed40/pmed30_300s.log
pmed31,700,5,OPT_MATCH,10086,10086,10026.0000,10086.0,0.005949,0.327,1.443,1.829387,7,40,470,15,0,report/evidence/logs/orlib_pmed17_pmed40/pmed31_300s.log
pmed32,700,10,OPT_MATCH,9297,9297,9292.5957,9297.0,0.000474,0.287,1.721,2.068490,8,3,892,15,0,report/evidence/logs/orlib_pmed17_pmed40/pmed32_300s.log
pmed33,700,70,OPT_MATCH,4700,4700,4700.0000,4700.0,0.000000,0.125,0.115,0.298477,8,1,494,3,0,report/evidence/logs/orlib_pmed17_pmed40/pmed33_300s.log
pmed34,700,140,OPT_MATCH,3013,3013,3013.0000,3013.0,0.000000,0.065,0.093,0.215538,8,1,436,7,0,report/evidence/logs/orlib_pmed17_pmed40/pmed34_300s.log
pmed35,800,5,OPT_MATCH,10400,10400,10302.0000,10401.0,0.009423,0.444,2.281,2.809365,6,115,334,14,0,report/evidence/logs/orlib_pmed17_pmed40/pmed35_300s.log
pmed36,800,10,OPT_MATCH,9934,9934,9833.2591,10113.0,0.010141,0.512,10.097,10.695018,9,1472,1770,82,0,report/evidence/logs/orlib_pmed17_pmed40/pmed36_300s.log
pmed37,800,80,OPT_MATCH,5057,5057,5057.0000,5057.0,0.000000,0.149,0.161,0.383450,7,1,461,9,0,report/evidence/logs/orlib_pmed17_pmed40/pmed37_300s.log
pmed38,900,5,OPT_MATCH,11060,11060,10947.1250,11071.0,0.010206,0.572,4.663,5.353734,8,363,1475,42,0,report/evidence/logs/orlib_pmed17_pmed40/pmed38_300s.log
pmed39,900,10,OPT_MATCH,9423,9423,9364.1818,9524.0,0.006242,0.425,2.867,3.398162,8,362,1049,25,0,report/evidence/logs/orlib_pmed17_pmed40/pmed39_300s.log
pmed40,900,90,OPT_MATCH,5128,5128,5128.0000,5128.0,0.000000,0.179,0.169,0.456644,7,1,527,3,0,report/evidence/logs/orlib_pmed17_pmed40/pmed40_300s.log
