family,instance,N,p,command,status,timeout_flag,obj,LB1,UB1,gap,T1,T2,Ttot,iterations,nodes,lazy_cuts,separation_calls,matches_known_opt,delta_opt,log_path,seed,p_pct
synthetic,euclidean_N100_p5pct,100,5,./pmedian instances/synthetic/euclidean_N100_p5pct_seed20260622.pmp --mode full,OPTIMAL_NO_KNOWN,0,15508361,15508361,15508361,0,0.024,0.017,0.484661,4,1,93,3,NA,NA,results/logs/synthetic_stress_300s/synthetic_20260622_045051_synthetic_euclidean_N100_p5pct_p5.log,20260622,5
synthetic,euclidean_N100_p10pct,100,10,./pmedian instances/synthetic/euclidean_N100_p10pct_seed20260622.pmp --mode full,OPTIMAL_NO_KNOWN,0,9926341,9926341,9926341,0,0.008,0.009,0.037117,5,1,115,3,NA,NA,results/logs/synthetic_stress_300s/synthetic_20260622_045051_synthetic_euclidean_N100_p10pct_p10.log,20260622,10
synthetic,euclidean_N100_p20pct,100,20,./pmedian instances/synthetic/euclidean_N100_p20pct_seed20260622.pmp --mode full,OPTIMAL_NO_KNOWN,0,6040128,6040128,6040128,0,0.005,0.005,0.030035,5,1,88,3,NA,NA,results/logs/synthetic_stress_300s/synthetic_20260622_045051_synthetic_euclidean_N100_p20pct_p20.log,20260622,20
synthetic,euclidean_N250_p5pct,250,12,./pmedian instances/synthetic/euclidean_N250_p5pct_seed20260622.pmp --mode full,OPTIMAL_NO_KNOWN,0,25103360,25103360,25103360,0,0.026,0.046,0.09257,6,1,416,4,NA,NA,results/logs/synthetic_stress_300s/synthetic_20260622_045051_synthetic_euclidean_N250_p5pct_p12.log,20260622,5
synthetic,euclidean_N250_p10pct,250,25,./pmedian instances/synthetic/euclidean_N250_p10pct_seed20260622.pmp --mode full,OPTIMAL_NO_KNOWN,0,15004156,15004156,15004156,0,0.015,0.026,0.063482,6,1,279,3,NA,NA,results/logs/synthetic_stress_300s/synthetic_20260622_045051_synthetic_euclidean_N250_p10pct_p25.log,20260622,10
synthetic,euclidean_N250_p20pct,250,50,./pmedian instances/synthetic/euclidean_N250_p20pct_seed20260622.pmp --mode full,OPTIMAL_NO_KNOWN,0,9357092,9357092,9357092,0,0.015,0.017,0.057613,7,1,231,3,NA,NA,results/logs/synthetic_stress_300s/synthetic_20260622_045051_synthetic_euclidean_N250_p20pct_p50.log,20260622,20
synthetic,euclidean_N500_p5pct,500,25,./pmedian instances/synthetic/euclidean_N500_p5pct_seed20260622.pmp --mode full,OPTIMAL_NO_KNOWN,0,34697398,34674001.875,35931690,0.000674,0.149,0.527,0.710534,8,59,721,13,NA,NA,results/logs/synthetic_stress_300s/synthetic_20260622_045051_synthetic_euclidean_N500_p5pct_p25.log,20260622,5
synthetic,euclidean_N500_p10pct,500,50,./pmedian instances/synthetic/euclidean_N500_p10pct_seed20260622.pmp --mode full,OPTIMAL_NO_KNOWN,0,22196288,22196288,22196288,0,0.041,0.067,0.14158,7,1,649,3,NA,NA,results/logs/synthetic_stress_300s/synthetic_20260622_045051_synthetic_euclidean_N500_p10pct_p50.log,20260622,10
synthetic,euclidean_N500_p20pct,500,100,./pmedian instances/synthetic/euclidean_N500_p20pct_seed20260622.pmp --mode full,OPTIMAL_NO_KNOWN,0,13010843,13010843,13010843,0,0.109,0.177,0.330849,8,1,516,3,NA,NA,results/logs/synthetic_stress_300s/synthetic_20260622_045051_synthetic_euclidean_N500_p20pct_p100.log,20260622,20
synthetic,euclidean_N1000_p5pct,1000,50,./pmedian instances/synthetic/euclidean_N1000_p5pct_seed20260622.pmp --mode full,OPTIMAL_NO_KNOWN,0,48527813,48526070.6667,49275616,0.000036,1.225,1.814,3.151895,8,7,1385,6,NA,NA,results/logs/synthetic_stress_300s/synthetic_20260622_045051_synthetic_euclidean_N1000_p5pct_p50.log,20260622,5
synthetic,euclidean_N1000_p10pct,1000,100,./pmedian instances/synthetic/euclidean_N1000_p10pct_seed20260622.pmp --mode full,OPTIMAL_NO_KNOWN,0,30799301,30799301,30799301,0,0.138,0.375,0.59102,7,1,1226,3,NA,NA,results/logs/synthetic_stress_300s/synthetic_20260622_045051_synthetic_euclidean_N1000_p10pct_p100.log,20260622,10
synthetic,euclidean_N1000_p20pct,1000,200,./pmedian instances/synthetic/euclidean_N1000_p20pct_seed20260622.pmp --mode full,OPTIMAL_NO_KNOWN,0,18526865,18525577.5,18526865,0.000069,0.12,0.329,0.695118,14,3,1008,10,NA,NA,results/logs/synthetic_stress_300s/synthetic_20260622_045051_synthetic_euclidean_N1000_p20pct_p200.log,20260622,20
synthetic,euclidean_N2000_p5pct,2000,100,./pmedian instances/synthetic/euclidean_N2000_p5pct_seed20260622.pmp --mode full,OPTIMAL_NO_KNOWN,0,66809888,66809888,66809888,0,0.925,1.751,3.043141,8,1,2725,3,NA,NA,results/logs/synthetic_stress_300s/synthetic_20260622_045051_synthetic_euclidean_N2000_p5pct_p100.log,20260622,5
synthetic,euclidean_N2000_p10pct,2000,200,./pmedian instances/synthetic/euclidean_N2000_p10pct_seed20260622.pmp --mode full,OPTIMAL_NO_KNOWN,0,43603839,43597985,44066657,0.000134,0.499,1.679,2.442365,8,15,2494,11,NA,NA,results/logs/synthetic_stress_300s/synthetic_20260622_045051_synthetic_euclidean_N2000_p10pct_p200.log,20260622,10
synthetic,euclidean_N2000_p20pct,2000,400,./pmedian instances/synthetic/euclidean_N2000_p20pct_seed20260622.pmp --mode full,OPTIMAL_NO_KNOWN,0,26247247,26246476.25,26415911,0.000029,0.404,0.981,1.649372,10,1,2023,6,NA,NA,results/logs/synthetic_stress_300s/synthetic_20260622_045051_synthetic_euclidean_N2000_p20pct_p400.log,20260622,20
