run_id,family,instance,N,M,p,status,timeout_s,obj,opt_known,delta_opt,matches_known_opt,LB1,UB1,T1,T2,elapsed_s,iter,cuts_phase1,warm_cuts,lazy_cuts,separation_calls,nodes,log_path,provenance,caveat
toy1,toy,instances/toy/toy1.pmp,4,4,2,OK,300,6.0,6,0.000000,YES,6.0000,6.0,0.011,0.007,0.038,3,6,6,2,3,1,results/logs/paperbench_current/toy1.log,hand-built toy instance in repo,
pmed1,OR-Library,instances/orlib/pmed1.pmp,100,100,5,OK,300,5819.0,5819,0.000000,YES,5819.0000,5819.0,0.009,0.008,0.035,6,337,337,90,3,1,results/logs/paperbench_current/pmed1.log,OR-Library Beasley pmed data; official optima in instances/orlib/pmedopt.txt,
pmed2,OR-Library,instances/orlib/pmed2.pmp,100,100,10,OK,300,4093.0,4093,0.000000,YES,4088.5000,4116.0,0.007,0.038,0.063,6,281,281,136,13,1,results/logs/paperbench_current/pmed2.log,OR-Library Beasley pmed data; official optima in instances/orlib/pmedopt.txt,
pmed3,OR-Library,instances/orlib/pmed3.pmp,100,100,10,OK,300,4250.0,4250,0.000000,YES,4240.5000,4250.0,0.007,0.055,0.079,6,274,274,134,10,3,results/logs/paperbench_current/pmed3.log,OR-Library Beasley pmed data; official optima in instances/orlib/pmedopt.txt,
pmed4,OR-Library,instances/orlib/pmed4.pmp,100,100,20,OK,300,3034.0,3034,0.000000,YES,3034.0000,3034.0,0.005,0.004,0.026,5,203,203,56,3,1,results/logs/paperbench_current/pmed4.log,OR-Library Beasley pmed data; official optima in instances/orlib/pmedopt.txt,
pmed5,OR-Library,instances/orlib/pmed5.pmp,100,100,33,OK,300,1355.0,1355,0.000000,YES,1355.0000,1355.0,0.004,0.005,0.028,5,217,217,44,5,1,results/logs/paperbench_current/pmed5.log,OR-Library Beasley pmed data; official optima in instances/orlib/pmedopt.txt,
pmed6,OR-Library,instances/orlib/pmed6.pmp,200,200,5,OK,300,7824.0,7824,0.000000,YES,7783.5000,7867.0,0.023,0.228,0.272,6,694,694,240,16,7,results/logs/paperbench_current/pmed6.log,OR-Library Beasley pmed data; official optima in instances/orlib/pmedopt.txt,
pmed7,OR-Library,instances/orlib/pmed7.pmp,200,200,10,OK,300,5631.0,5631,0.000000,YES,5631.0000,5631.0,0.019,0.023,0.063,6,679,679,144,3,1,results/logs/paperbench_current/pmed7.log,OR-Library Beasley pmed data; official optima in instances/orlib/pmedopt.txt,
pmed8,OR-Library,instances/orlib/pmed8.pmp,200,200,20,OK,300,4445.0,4445,0.000000,YES,4445.0000,4445.0,0.011,0.010,0.041,5,460,460,168,3,1,results/logs/paperbench_current/pmed8.log,OR-Library Beasley pmed data; official optima in instances/orlib/pmedopt.txt,
pmed9,OR-Library,instances/orlib/pmed9.pmp,200,200,40,OK,300,2734.0,2734,0.000000,YES,2734.0000,2734.0,0.008,0.010,0.038,6,451,451,132,3,1,results/logs/paperbench_current/pmed9.log,OR-Library Beasley pmed data; official optima in instances/orlib/pmedopt.txt,
pmed10,OR-Library,instances/orlib/pmed10.pmp,200,200,67,OK,300,1255.0,1255,0.000000,YES,1255.0000,1255.0,0.010,0.011,0.040,9,506,506,85,3,1,results/logs/paperbench_current/pmed10.log,OR-Library Beasley pmed data; official optima in instances/orlib/pmedopt.txt,
pmed11,OR-Library,instances/orlib/pmed11.pmp,300,300,5,OK,300,7696.0,7696,0.000000,YES,7693.3333,7696.0,0.062,0.298,0.384,9,1285,1285,308,12,1,results/logs/paperbench_current/pmed11.log,OR-Library Beasley pmed data; official optima in instances/orlib/pmedopt.txt,
pmed12,OR-Library,instances/orlib/pmed12.pmp,300,300,10,OK,300,6634.0,6634,0.000000,YES,6625.7500,6638.0,0.047,0.256,0.327,7,1043,1043,204,11,7,results/logs/paperbench_current/pmed12.log,OR-Library Beasley pmed data; official optima in instances/orlib/pmedopt.txt,
pmed13,OR-Library,instances/orlib/pmed13.pmp,300,300,30,OK,300,4374.0,4374,0.000000,YES,4374.0000,4374.0,0.024,0.023,0.070,5,778,778,213,3,1,results/logs/paperbench_current/pmed13.log,OR-Library Beasley pmed data; official optima in instances/orlib/pmedopt.txt,
pmed14,OR-Library,instances/orlib/pmed14.pmp,300,300,60,OK,300,2968.0,2968,0.000000,YES,2967.2000,2971.0,0.015,0.043,0.081,8,653,653,238,7,1,results/logs/paperbench_current/pmed14.log,OR-Library Beasley pmed data; official optima in instances/orlib/pmedopt.txt,
pmed15,OR-Library,instances/orlib/pmed15.pmp,300,300,100,OK,300,1729.0,1729,0.000000,YES,1729.0000,1729.0,0.016,0.021,0.059,7,747,747,140,4,1,results/logs/paperbench_current/pmed15.log,OR-Library Beasley pmed data; official optima in instances/orlib/pmedopt.txt,
kroA100,TSPLIB,instances/tsplib/kroA100.pmp,100,100,10,OK,300,30539.0,NA,NA,NA,30530.0000,30545.0,0.009,0.042,0.069,8,306,306,162,12,1,results/logs/paperbench_current/kroA100.log,TSPLIB kroA100 raw .tsp in repo; used as geometry sanity check,not a main paper-table result
