instance,our_LB1,our_UB1,our_opt_proven,our_iter,our_nodes,our_T1_s,our_T2_s,orlib_official_opt,delta,paper_LB1,paper_UB1,paper_time,status,note
pmed1,5819.0,5819.0,5819.0,6,223,0.019,0.057,5819,0.0,NA (PDF ausente),NA (PDF ausente),NA (PDF ausente),OPT_MATCH,"ref = optimo oficial OR-Library; maquina Apple M1, sin PopStar/RCF"
pmed2,4088.5,4116.0,4093.0,6,479,0.007,0.083,4093,0.0,NA (PDF ausente),NA (PDF ausente),NA (PDF ausente),OPT_MATCH,"ref = optimo oficial OR-Library; maquina Apple M1, sin PopStar/RCF"
pmed3,4240.5,4250.0,4250.0,6,327,0.007,0.062,4250,0.0,NA (PDF ausente),NA (PDF ausente),NA (PDF ausente),OPT_MATCH,"ref = optimo oficial OR-Library; maquina Apple M1, sin PopStar/RCF"
pmed4,3034.0,3034.0,3034.0,5,237,0.005,0.053,3034,0.0,NA (PDF ausente),NA (PDF ausente),NA (PDF ausente),OPT_MATCH,"ref = optimo oficial OR-Library; maquina Apple M1, sin PopStar/RCF"
pmed5,1355.0,1355.0,1355.0,5,1215,0.004,0.078,1355,0.0,NA (PDF ausente),NA (PDF ausente),NA (PDF ausente),OPT_MATCH,"ref = optimo oficial OR-Library; maquina Apple M1, sin PopStar/RCF"
pmed6,7783.5,7867.0,7824.0,6,632,0.023,0.146,7824,0.0,NA (PDF ausente),NA (PDF ausente),NA (PDF ausente),OPT_MATCH,"ref = optimo oficial OR-Library; maquina Apple M1, sin PopStar/RCF"
pmed7,5631.0,5631.0,5631.0,6,839,0.019,0.121,5631,0.0,NA (PDF ausente),NA (PDF ausente),NA (PDF ausente),OPT_MATCH,"ref = optimo oficial OR-Library; maquina Apple M1, sin PopStar/RCF"
pmed8,4445.0,4445.0,4445.0,5,836,0.01,0.141,4445,0.0,NA (PDF ausente),NA (PDF ausente),NA (PDF ausente),OPT_MATCH,"ref = optimo oficial OR-Library; maquina Apple M1, sin PopStar/RCF"
pmed9,2734.0,2734.0,2734.0,6,12806,0.008,0.686,2734,0.0,NA (PDF ausente),NA (PDF ausente),NA (PDF ausente),OPT_MATCH,"ref = optimo oficial OR-Library; maquina Apple M1, sin PopStar/RCF"
pmed10,1255.0,1255.0,1255.0,9,3002,0.01,0.321,1255,0.0,NA (PDF ausente),NA (PDF ausente),NA (PDF ausente),OPT_MATCH,"ref = optimo oficial OR-Library; maquina Apple M1, sin PopStar/RCF"
pmed11,7693.3333,7696.0,7696.0,9,352,0.062,0.206,7696,0.0,NA (PDF ausente),NA (PDF ausente),NA (PDF ausente),OPT_MATCH,"ref = optimo oficial OR-Library; maquina Apple M1, sin PopStar/RCF"
pmed12,6625.75,6638.0,6634.0,7,875,0.046,0.285,6634,0.0,NA (PDF ausente),NA (PDF ausente),NA (PDF ausente),OPT_MATCH,"ref = optimo oficial OR-Library; maquina Apple M1, sin PopStar/RCF"
pmed13,4374.0,4374.0,4374.0,5,3752,0.023,0.678,4374,0.0,NA (PDF ausente),NA (PDF ausente),NA (PDF ausente),OPT_MATCH,"ref = optimo oficial OR-Library; maquina Apple M1, sin PopStar/RCF"
pmed14,2967.2,2971.0,2968.0,8,1968,0.015,0.701,2968,0.0,NA (PDF ausente),NA (PDF ausente),NA (PDF ausente),OPT_MATCH,"ref = optimo oficial OR-Library; maquina Apple M1, sin PopStar/RCF"
pmed15,1729.0,1729.0,1729.0,7,2127,0.016,0.442,1729,0.0,NA (PDF ausente),NA (PDF ausente),NA (PDF ausente),OPT_MATCH,"ref = optimo oficial OR-Library; maquina Apple M1, sin PopStar/RCF"
